epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1366,0.95989,2.08658,3.02398,1.04028,0.00638,0.86752,0.46949,0.38609,0.00621,0.84829,0.46233,0.38041,0.74617,1.89656,3.23595,0.86952,0.00021671,0.00021671,0.00021671
2,96.0395,1.05584,1.96968,2.66379,1.0332,0.00661,0.88675,0.44877,0.33461,0.00693,0.92521,0.454,0.33418,0.92437,1.95982,3.2271,0.91916,0.00044452,0.00044452,0.00044452
3,134.832,1.16352,1.96379,2.24105,1.09389,0.00633,0.86752,0.40177,0.29951,0.00633,0.86752,0.41146,0.31323,0.97413,2.13128,3.26026,1.01878,0.000666554,0.000666554,0.000666554
4,173.73,1.22701,2.12793,1.8124,1.11269,0.58814,0.20268,0.35554,0.20669,0.4613,0.14712,0.2512,0.1843,1.17846,3.18417,3.26533,1.19999,0.000882812,0.000882812,0.000882812
5,210.678,1.22778,2.07518,1.68482,1.15094,0.77484,0.34578,0.41386,0.25326,0.61068,0.27748,0.28518,0.20607,1.20384,2.85769,3.17445,1.4202,0.00109329,0.00109329,0.00109329
6,248.087,1.16573,2.02043,1.57011,1.13674,0.37688,0.27991,0.23967,0.1496,0.44341,0.29915,0.25312,0.15923,1.25714,4.31044,3.10364,1.30047,0.001298,0.001298,0.001298
7,286.556,1.19777,2.07448,1.48957,1.14447,0.42809,0.27991,0.25534,0.16712,0.51177,0.29801,0.26605,0.19585,1.23627,4.56829,3.11537,1.25786,0.00149693,0.00149693,0.00149693
8,325.09,1.23084,2.17084,1.50746,1.14343,0.52321,0.56197,0.45143,0.28436,0.55208,0.43172,0.42908,0.21449,1.25253,3.73888,2.52031,1.12694,0.0015226,0.0015226,0.0015226
9,363.593,1.16503,2.14416,1.43055,1.11458,0.46049,0.63675,0.49989,0.29845,0.54566,0.46581,0.41954,0.20422,1.37646,3.75038,2.21484,1.24979,0.00150197,0.00150197,0.00150197
10,400.396,1.08531,2.00538,1.39504,1.09636,0.58023,0.65598,0.58964,0.41452,0.56429,0.65537,0.58214,0.35481,1.14314,2.80757,2.0082,1.12306,0.00148134,0.00148134,0.00148134
11,438.852,1.09031,2.03211,1.3628,1.08899,0.5272,0.70797,0.60727,0.45305,0.5272,0.70797,0.59207,0.40705,1.08781,2.88774,2.00281,1.06828,0.00146071,0.00146071,0.00146071
12,475.738,1.1432,2.01272,1.35013,1.14085,0.57674,0.52564,0.46417,0.32965,0.55816,0.44883,0.43202,0.28994,1.06011,3.36952,2.68913,1.06924,0.00144008,0.00144008,0.00144008
13,515.062,1.04716,2.04873,1.34123,1.10015,0.46431,0.74486,0.49723,0.36899,0.43511,0.70701,0.46119,0.29483,1.07022,3.19246,2.08615,1.0639,0.00141945,0.00141945,0.00141945
14,572.231,1.07655,1.92373,1.34256,1.08259,0.55308,0.67949,0.59406,0.46041,0.55308,0.67949,0.58106,0.37845,0.97293,2.52166,1.90859,1.02927,0.00139882,0.00139882,0.00139882
15,625.798,1.12028,2.00501,1.35672,1.11584,0.55042,0.69658,0.61329,0.46591,0.53046,0.67735,0.57015,0.4048,1.07413,2.57047,2.20583,1.07893,0.00137819,0.00137819,0.00137819
16,683.898,1.11688,1.94074,1.36173,1.09671,0.5599,0.67696,0.58832,0.44854,0.5599,0.67696,0.58417,0.39671,1.06392,2.73317,2.16625,1.05653,0.00135756,0.00135756,0.00135756
17,725.654,1.06408,1.87606,1.28601,1.06461,0.49785,0.6458,0.51991,0.39142,0.49785,0.6458,0.51991,0.34757,1.05168,2.64702,2.06654,1.06834,0.00133693,0.00133693,0.00133693
18,763.919,1.10398,1.98994,1.28205,1.08782,0.51266,0.73504,0.62174,0.47069,0.51266,0.73504,0.61395,0.4103,1.03631,2.60694,1.7471,1.07347,0.0013163,0.0013163,0.0013163
19,800.854,1.01986,1.74053,1.28318,1.0597,0.62316,0.66315,0.63549,0.48895,0.62316,0.66315,0.6246,0.44051,1.01031,2.57753,1.63211,1.04727,0.00129568,0.00129568,0.00129568
20,838.456,1.03551,1.82945,1.18299,1.04922,0.67939,0.60043,0.66924,0.55599,0.70716,0.61966,0.6868,0.48867,0.95164,2.3154,1.5983,1.02319,0.00127505,0.00127505,0.00127505
21,877.097,1.07039,1.91065,1.17118,1.0866,0.68582,0.62434,0.65971,0.52907,0.68582,0.62434,0.65939,0.45857,0.92808,2.23398,1.74737,1.0145,0.00125442,0.00125442,0.00125442
22,914.951,1.02811,1.85914,1.18002,1.03143,0.6062,0.70916,0.58493,0.42747,0.62932,0.72817,0.61968,0.41754,0.98709,2.12546,1.74891,1.04559,0.00123379,0.00123379,0.00123379
23,951.476,1.02847,1.85388,1.17385,1.04782,0.61637,0.71581,0.60521,0.43615,0.63982,0.73504,0.62989,0.40403,1.02157,2.21386,1.85543,1.06612,0.00121316,0.00121316,0.00121316
24,991.102,1.01309,1.83038,1.13897,1.03682,0.54258,0.73504,0.53539,0.39895,0.54258,0.73504,0.53539,0.34428,1.00632,2.59066,1.80595,1.09481,0.00119253,0.00119253,0.00119253
25,1029.55,1.04815,1.93867,1.14731,1.05851,0.52088,0.71581,0.57192,0.41819,0.52088,0.71581,0.57074,0.38143,1.11321,2.65121,1.62463,1.15475,0.0011719,0.0011719,0.0011719
26,1068.61,1.00074,1.68985,1.14823,1.05667,0.61763,0.74752,0.687,0.54323,0.63718,0.76656,0.72959,0.49226,1.02659,2.67464,1.48601,1.10249,0.00115127,0.00115127,0.00115127
27,1106.86,0.95551,1.67889,1.16479,1.01631,0.67678,0.74387,0.73535,0.55059,0.67678,0.74387,0.73507,0.50273,1.02475,2.48924,1.36834,1.09295,0.00113064,0.00113064,0.00113064
28,1143.21,0.95598,1.78099,1.08464,1.01637,0.77712,0.65812,0.70464,0.54507,0.77712,0.65812,0.70464,0.51506,0.94207,2.26707,1.41054,1.028,0.00111001,0.00111001,0.00111001
29,1179.86,1.00174,1.77659,1.15226,1.03667,0.72293,0.67417,0.62962,0.46611,0.72293,0.67417,0.62962,0.43093,0.99761,2.27441,1.48589,1.08241,0.00108938,0.00108938,0.00108938
30,1217.96,0.91873,1.63681,1.09052,0.99855,0.67034,0.71581,0.69424,0.52824,0.67034,0.71581,0.69211,0.48101,0.9958,2.36833,1.39328,1.0736,0.00106876,0.00106876,0.00106876
31,1254.39,0.93773,1.67183,1.07438,1.00702,0.66667,0.73491,0.73174,0.56289,0.66667,0.73491,0.71987,0.51356,0.96106,2.35856,1.32456,1.06188,0.00104813,0.00104813,0.00104813
32,1291.2,0.94339,1.70969,1.063,1.01201,0.53553,0.75437,0.72119,0.53833,0.53553,0.75437,0.68172,0.45978,0.94707,2.28729,1.4547,1.08061,0.0010275,0.0010275,0.0010275
33,1328.25,0.97199,1.73787,1.04934,1.02766,0.51224,0.75268,0.66101,0.45628,0.48401,0.69745,0.56809,0.41105,0.98219,2.25185,1.4997,1.10327,0.00100687,0.00100687,0.00100687
34,1366.05,0.96259,1.70204,1.04327,1.01303,0.56454,0.62359,0.5903,0.39999,0.52276,0.58547,0.51432,0.35161,0.98339,2.30345,1.7229,1.0906,0.000986239,0.000986239,0.000986239
35,1402.32,0.90223,1.59839,1.02763,0.99967,0.62015,0.58547,0.58463,0.4041,0.5713,0.52991,0.50876,0.35347,1.01638,2.24156,1.75378,1.10798,0.00096561,0.00096561,0.00096561
