epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3717,1.76694,3.1991,3.6381,1.31079,0.00829,0.16179,0.03647,0.02149,0.00946,0.18389,0.04086,0.02513,1.10348,2.34793,3.4079,0.96016,8.335e-05,8.335e-05,8.335e-05
2,53.182,1.53436,2.75082,3.26985,1.12075,0.01758,0.31332,0.1912,0.12511,0.01887,0.33124,0.20854,0.12483,1.35346,2.61838,3.27529,0.99898,0.000181555,0.000181555,0.000181555
3,58.4319,1.47882,2.57847,2.22503,1.11227,0.01833,0.32643,0.19836,0.11818,0.01969,0.35484,0.20012,0.12065,1.39507,2.49566,3.1058,1.00154,0.000277779,0.000277779,0.000277779
4,65.2064,1.46529,2.54998,1.9246,1.10164,0.9661,0.07599,0.19637,0.1312,0.93683,0.11243,0.19646,0.12805,1.33894,2.42562,3.00578,0.99135,0.000372023,0.000372023,0.000372023
5,69.932,1.47158,2.4913,1.57689,1.11613,0.43919,0.16321,0.15545,0.11057,0.35249,0.16598,0.14964,0.09714,1.32627,2.51876,2.92887,1.01533,0.000464286,0.000464286,0.000464286
6,75.3248,1.45837,2.52927,1.55003,1.09711,1,0.04012,0.1384,0.10048,1,0.04012,0.13779,0.08884,1.35759,2.58958,2.92773,1.0465,0.000554569,0.000554569,0.000554569
7,80.718,1.29431,2.35511,1.46215,1.08029,0.02092,0.40535,0.11062,0.07699,0.02122,0.41158,0.09865,0.06904,1.34846,2.74859,3.03634,1.07626,0.000642872,0.000642872,0.000642872
8,85.729,1.33635,2.37177,1.39957,1.05457,0.02046,0.39848,0.05606,0.04134,0.0197,0.38396,0.05334,0.03837,1.38278,3.04226,3.09877,1.09425,0.000729194,0.000729194,0.000729194
9,92.03,1.3765,2.54614,1.34924,1.0908,0.55802,0.03015,0.07966,0.05623,0.55802,0.03015,0.0738,0.05057,1.42334,3.27358,3.08113,1.1352,0.000813536,0.000813536,0.000813536
10,97.515,1.3087,2.30279,1.34836,1.04982,0.68832,0.03252,0.12386,0.08541,0.68832,0.03252,0.11432,0.07289,1.44189,3.32056,3.01255,1.16843,0.000895897,0.000895897,0.000895897
11,102.062,1.35669,2.37308,1.30907,1.06912,0.61279,0.05396,0.14654,0.09776,0.55819,0.04843,0.13465,0.08523,1.48873,3.19464,2.87177,1.17498,0.000976279,0.000976279,0.000976279
12,108.406,1.41303,2.40631,1.38948,1.11229,0.64096,0.10428,0.18274,0.12004,0.64096,0.10428,0.17804,0.11184,1.52521,3.14887,2.65799,1.19001,0.00105468,0.00105468,0.00105468
13,113.019,1.33293,2.34676,1.23248,1.0516,0.51873,0.16037,0.22164,0.15505,0.51133,0.15761,0.21463,0.1394,1.55459,3.03031,2.4009,1.16697,0.0011311,0.0011311,0.0011311
