frame,vehicle_type,id,bbox
0,2,1,"[[490.504638671875, 211.77920532226562, 538.4144287109375, 248.88449096679688]]"
0,2,2,"[[238.1953125, 180.06512451171875, 270.7315979003906, 204.2127685546875]]"
1,2,1,"[[485.8612365722656, 210.2190399169922, 534.5156860351562, 247.88812255859375]]"
1,2,2,"[[238.274169921875, 181.034423828125, 271.2180480957031, 205.50894165039062]]"
2,2,1,"[[484.8282775878906, 209.15606689453125, 531.3995971679688, 245.17803955078125]]"
2,2,2,"[[237.9317169189453, 182.10269165039062, 271.2989807128906, 206.9280242919922]]"
3,2,1,"[[482.1004333496094, 207.76715087890625, 526.5719604492188, 242.1351776123047]]"
3,2,2,"[[236.93833923339844, 183.37489318847656, 270.5843811035156, 208.43405151367188]]"
4,2,1,"[[477.77545166015625, 204.67987060546875, 524.1389770507812, 240.4765625]]"
4,2,2,"[[237.40298461914062, 184.49949645996094, 270.6275329589844, 209.25985717773438]]"
5,2,1,"[[476.02520751953125, 203.567138671875, 520.5346069335938, 237.88534545898438]]"
5,2,2,"[[237.4147186279297, 186.1403045654297, 270.9310302734375, 211.15899658203125]]"
6,2,1,"[[472.1625671386719, 201.2342529296875, 517.08740234375, 235.90762329101562]]"
6,2,2,"[[236.8904266357422, 187.54534912109375, 271.0315246582031, 213.05636596679688]]"
7,2,1,"[[470.3737487792969, 199.9697265625, 513.270263671875, 232.93307495117188]]"
7,2,2,"[[235.60374450683594, 188.223388671875, 271.96136474609375, 215.4596405029297]]"
8,2,1,"[[468.24041748046875, 198.95352172851562, 509.9678649902344, 231.03952026367188]]"
8,2,2,"[[233.84982299804688, 188.24554443359375, 272.1329345703125, 217.090087890625]]"
9,2,1,"[[464.6722717285156, 196.39144897460938, 507.0262145996094, 228.9270782470703]]"
9,2,2,"[[234.69287109375, 191.21783447265625, 271.13653564453125, 218.70358276367188]]"
10,2,1,"[[461.2328186035156, 194.9033966064453, 504.03814697265625, 227.7347412109375]]"
10,2,2,"[[233.2178955078125, 192.1453094482422, 271.3045959472656, 220.95449829101562]]"
11,2,1,"[[459.0823669433594, 192.85743713378906, 501.0169982910156, 225.0189971923828]]"
11,2,2,"[[233.1686553955078, 193.4669189453125, 271.7665710449219, 222.7747802734375]]"
12,2,1,"[[457.50421142578125, 192.54849243164062, 497.9193420410156, 223.44439697265625]]"
12,2,2,"[[233.01560974121094, 194.8406524658203, 272.03472900390625, 224.48106384277344]]"
13,2,1,"[[454.95989990234375, 191.29470825195312, 494.68988037109375, 221.65940856933594]]"
13,2,2,"[[232.4556121826172, 196.03244018554688, 271.96270751953125, 226.11668395996094]]"
